id;country;zip;state;city;district;name
1;Papua-Nova Guiné;feed Human;Lilangeni Configuration Home;Round Rock;navigating Esportes;needs-based Alameda
2;Tajiquistão;Grosso Corporate Mandatory;Saúde didactic;undefined Nataniel do Descoberto;Crianças;Developer
3;Aruba;Mesa invoice;Berkshire Designer do;Franco do Sul;policy;circuit Bicicleta
4;Madagascar;navigate override SMTP;Acre;undefined Ana Laura;reboot ubiquitous Avon;Account Assimilated optical
5;Aruba;grow;alarm Dinar Bacon;Fabiano do Norte;override projection Taka;Technician Accounts azul
6;Nepal;Account relationships deposit;Industrial out-of-the-box;Pereira do Norte;microchip payment boliviano;time-frame
7;Vaticano;Architect;benchmark;undefined Sophia do Sul;Personal calculating;Sapatos
8;Camarões;Pizza;virtual;undefined Marcelo;Computador;open-source Pará
9;Dominica;Bola;Regional;Batista de Nossa Senhora;Plástico Investor back;Profound
10;Colômbia;compress Refinado navigate;Congelado Gostoso;undefined Maria Helena do Descoberto;generation Mercearia;application
